Participant id,Group,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Pain question,Record video,Webcam,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62e1581acad06eee3b6509dc,BASELINE,645194afa0fba21343157679,APPROVED,2023-05-02T22:55:14.118000Z,2023-05-02T23:01:47.510000Z,2023-05-02 23:31:58,2023-05-02T23:01:47.882915Z,394,CKUN41EW,867,English,Yes,Yes,Yes,24,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5fd410790e3b0716869c801e,BASELINE,645194b287cc301975b7c36d,APPROVED,2023-05-02T22:54:54.011000Z,2023-05-02T23:04:06.565000Z,2023-05-02 23:31:58,2023-05-02T23:04:06.946486Z,553,CKUN41EW,995,English,Yes,Yes,Yes,22,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
594abd98215cbd000146debc,BASELINE,645194b3af3ace22daa94681,APPROVED,2023-05-02T22:54:43.655000Z,2023-05-02T23:08:11.020000Z,2023-05-02 23:31:58,2023-05-02T23:08:11.589555Z,808,CKUN41EW,2878,English,Yes,Yes,Yes,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
5b70d5cf48302c0001ba0771,BASELINE,645194bb07685d820701db75,APPROVED,2023-05-02T22:54:51.104000Z,2023-05-02T23:04:20.548000Z,2023-05-02 23:31:59,2023-05-02T23:04:20.955979Z,570,CKUN41EW,2241,English,Yes,Yes,Yes,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62e2917bb46ebde5c7866071,BASELINE,645194bcaa0058c92cfea871,APPROVED,2023-05-02T22:55:05.857000Z,2023-05-02T23:09:22.306000Z,2023-05-02 23:31:59,2023-05-02T23:09:23.295110Z,857,CKUN41EW,445,English,Yes,Yes,Yes,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63ecff152b48d86d5a353ee6,BASELINE,645194be17658370ac1f66bf,APPROVED,2023-05-02T22:54:54.251000Z,2023-05-02T23:02:06.440000Z,2023-05-02 23:31:59,2023-05-02T23:02:07.199321Z,433,CKUN41EW,143,English,Yes,Yes,Yes,32,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5fdb99c3afb444000bf62f3f,BASELINE,645194be3b2d3178d12f1d86,APPROVED,2023-05-02T22:55:51.812000Z,2023-05-02T23:03:21.268000Z,2023-05-02 23:31:59,2023-05-02T23:03:24.692828Z,450,CKUN41EW,731,"English, Spanish, Arabic, French",Yes,Yes,Yes,26,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
62ea814597e4669c86d1eb46,BASELINE,645194be993eb57d9818d1f2,APPROVED,2023-05-02T22:54:54.899000Z,2023-05-02T22:59:29.571000Z,2023-05-02 23:31:59,2023-05-02T22:59:34.740199Z,275,CKUN41EW,293,English,Yes,Yes,Yes,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
614726b73ab8022a9edc7f45,BASELINE,645194beb510598f9557224d,APPROVED,2023-05-02T23:00:22.234000Z,2023-05-02T23:14:21.824000Z,2023-05-02 23:31:59,2023-05-02T23:14:22.197716Z,840,CKUN41EW,257,"English, French",Yes,Yes,Yes,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Other
63dd8ceae6b44075c23abbc9,BASELINE,645194bf3f43850b1347f294,APPROVED,2023-05-02T22:56:14.675000Z,2023-05-02T23:08:10.811000Z,2023-05-02 23:31:59,2023-05-02T23:08:11.242819Z,717,CKUN41EW,147,"English, Turkish, Kurdish",Yes,Yes,Yes,34,Male,White,Turkey,United Kingdom,Turkey,Turkish,Yes,Other
5ba17c2d6d7a520001bfabae,BASELINE,645194cb1f3a3319b2237636,APPROVED,2023-05-02T22:55:07.362000Z,2023-05-02T23:03:13.218000Z,2023-05-02 23:32:00,2023-05-02T23:03:13.994517Z,486,CKUN41EW,1683,English,Yes,Yes,Yes,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
611fe0f24abe3cc63f4fd424,BASELINE,645194d7d5b00b22950db47c,APPROVED,2023-05-02T22:57:59.493000Z,2023-05-02T23:04:56.881000Z,2023-05-02 23:32:00,2023-05-02T23:04:57.285454Z,418,CKUN41EW,418,English,Yes,Yes,Yes,23,Male,White,Poland,United Kingdom,Poland,English,DATA_EXPIRED,DATA_EXPIRED
5ac289f6e1546900019be3e4,BASELINE,645194d8bf34837dccaaf723,APPROVED,2023-05-02T22:56:12.538000Z,2023-05-02T23:07:58.624000Z,2023-05-02 23:32:00,2023-05-02T23:07:59.108359Z,707,CKUN41EW,2264,English,Yes,Yes,Yes,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6278270bfb2439bf3abf192d,BASELINE,645194da596d5ae4b50cf36f,APPROVED,2023-05-02T22:55:22.777000Z,2023-05-02T23:03:46.444000Z,2023-05-02 23:32:00,2023-05-02T23:03:47.309552Z,504,CKUN41EW,841,English,Yes,Yes,Yes,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63132e0bd4c11adb849be441,BASELINE,645194da77a8515b41d833b3,APPROVED,2023-05-02T22:55:22.362000Z,2023-05-02T23:06:30.296000Z,2023-05-02 23:32:00,2023-05-02T23:06:31.404240Z,668,CKUN41EW,376,"Arabic, English",Yes,Yes,Yes,111,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
5c0873675b32d500012e3f2c,BASELINE,645194db53760f9a74afafd8,APPROVED,2023-05-02T22:55:23.941000Z,2023-05-02T23:24:07.604000Z,2023-05-02 23:32:00,2023-05-02T23:24:08.469382Z,1724,CKUN41EW,2073,English,Yes,Yes,Yes,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5dbefec9f8e3f93a249ed94a,BASELINE,645194e387c8f458d41f670c,APPROVED,2023-05-02T22:55:31.191000Z,2023-05-02T23:03:09.679000Z,2023-05-02 23:32:01,2023-05-02T23:03:10.019999Z,459,CKUN41EW,119,"English, Spanish",Yes,Yes,Yes,33,Male,White,Mexico,United Kingdom,Mexico,Spanish,Yes,Full-Time
60bbdb37286980cc3ba6f309,BASELINE,645194e487c8f458d41f670d,APPROVED,2023-05-02T22:55:32.218000Z,2023-05-02T23:04:41.678000Z,2023-05-02 23:32:01,2023-05-02T23:04:42.090476Z,550,CKUN41EW,765,English,Yes,Yes,Yes,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
60b3d51e5faeb57cea9ecda6,BASELINE,645194e4fb3edf45c921a25d,APPROVED,2023-05-02T22:55:32.941000Z,2023-05-02T23:04:59.947000Z,2023-05-02 23:32:01,2023-05-02T23:05:00.268137Z,568,CKUN41EW,1048,English,Yes,Yes,Yes,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
56ca3e3237d66c000c59a891,BASELINE,645194e7b6156008319390bc,APPROVED,2023-05-02T22:55:42.652000Z,2023-05-02T23:01:59.061000Z,2023-05-02 23:32:01,2023-05-02T23:01:59.500037Z,377,CKUN41EW,2862,English,Yes,Yes,Yes,43,Male,White,United States,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
5c5caa79cfdd2800011fc34f,BASELINE,645194f1ce66a3a52f7b07b8,APPROVED,2023-05-02T23:02:21.994000Z,2023-05-02T23:21:36.236000Z,2023-05-02 23:32:01,2023-05-02T23:21:36.643334Z,1155,CKUN41EW,1643,English,Yes,Yes,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5b9d57e5737d030001ad2cbf,BASELINE,645194f8104714ce5b85bf62,APPROVED,2023-05-02T22:55:52.358000Z,2023-05-02T23:02:47.924000Z,2023-05-02 23:32:01,2023-05-02T23:02:48.715788Z,416,CKUN41EW,1985,English,Yes,Yes,Yes,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5db06d3018230d00150d3fd2,BASELINE,645194fae8595ed668627e83,APPROVED,2023-05-02T22:56:17.400000Z,2023-05-02T23:03:23.934000Z,2023-05-02 23:32:01,2023-05-02T23:03:24.316137Z,427,CKUN41EW,860,"English, Arabic",Yes,Yes,Yes,34,Female,White,United States,United Kingdom,United States,English,No,Unemployed (and job seeking)
5eaae0b28ba2df0570296c3a,BASELINE,645194fe77a8515b41d833c0,APPROVED,2023-05-02T22:56:03.733000Z,2023-05-02T23:03:47.155000Z,2023-05-02 23:32:02,2023-05-02T23:03:48.886207Z,464,CKUN41EW,1257,English,Yes,Yes,Yes,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
60a36df4d69b4a6a7a8b015a,BASELINE,64519503bd8ca6ff2d76d7d7,APPROVED,2023-05-02T22:57:01.820000Z,2023-05-02T23:29:32.211000Z,2023-05-02 23:32:02,2023-05-02T23:29:32.736578Z,1951,CKUN41EW,1692,English,Yes,Yes,Yes,44,Female,White,United States,United States,United States,English,No,Full-Time
5d432a9dfc19f8001a2964e7,BASELINE,64519504d90c260b452f1d6c,APPROVED,2023-05-02T22:56:04.867000Z,2023-05-02T23:02:46.726000Z,2023-05-02 23:32:02,2023-05-02T23:02:47.081690Z,402,CKUN41EW,1437,English,Yes,Yes,Yes,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5f5671742b693b099fe0aaad,BASELINE,64519509d006823415d5e48c,APPROVED,2023-05-02T22:56:44.402000Z,2023-05-02T23:06:13.035000Z,2023-05-02 23:32:02,2023-05-02T23:06:13.546968Z,569,CKUN41EW,255,English,Yes,Yes,Yes,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63fe455ba7773f34f0382ecc,BASELINE,6451950b2d02da8515dc80f0,APPROVED,2023-05-02T22:56:16.232000Z,2023-05-02T23:04:55.662000Z,2023-05-02 23:32:02,2023-05-02T23:04:56.033277Z,520,CKUN41EW,182,English,Yes,Yes,Yes,49,Male,White,Russian Federation,United States,Belarus,Russian,No,Part-Time
62779d95881329faf37ad653,BASELINE,6451950eaf7341a4e2717bcd,APPROVED,2023-05-02T22:56:44.131000Z,2023-05-02T23:08:35.558000Z,2023-05-02 23:32:02,2023-05-02T23:08:36.028171Z,712,CKUN41EW,651,"English, Italian",Yes,Yes,Yes,41,Male,White,Italy,United Kingdom,United Kingdom,English,No,Full-Time
5ae9cde00335e200019e9eed,BASELINE,6451951ab0f0db4b0be71285,APPROVED,2023-05-02T22:56:30.593000Z,2023-05-02T23:02:41.153000Z,2023-05-02 23:32:03,2023-05-02T23:02:44.251745Z,371,CKUN41EW,1292,English,Yes,Yes,Yes,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
634d98bd566df98eb0e95314,EMOJIONLY,6451a1c34271521dfd0f45b1,APPROVED,2023-05-02T23:50:38.632000Z,2023-05-03T00:00:39.806000Z,45049.04684,2023-05-03T00:04:51.082101Z,602,CKUN41EW,221,English,Yes,Yes,Yes,33,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
5f4d822a5080c693e800932f,EMOJIONLY,6451a33f2d7724e388795b3e,APPROVED,2023-05-02T23:56:55.497000Z,2023-05-03T00:03:07.112000Z,45049.04684,2023-05-03T00:05:40.297099Z,372,CKUN41EW,847,English,Yes,Yes,Yes,52,Male,White,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
5db8a4f15f7e1a000a20d09c,EMOJIONLY,6451a55d3e1035f992d5e444,APPROVED,2023-05-03T00:05:54.496000Z,2023-05-03T00:14:18.576000Z,45049.04684,2023-05-03T00:14:19.131510Z,505,CKUN41EW,373,"Arabic, English",Yes,Yes,Yes,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
57b28526f6b9390001af1edd,EMOJIONLY,6451a56af0788869ada5010e,APPROVED,2023-05-03T00:06:14.057000Z,2023-05-03T00:16:35.767000Z,45049.04684,2023-05-03T00:16:36.127956Z,622,CKUN41EW,916,English,Yes,Yes,Yes,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
5e38fd401dcb4911f7c63b65,EMOJIONLY,6451a6f086720557685393af,APPROVED,2023-05-03T00:12:32.722000Z,2023-05-03T00:17:31.523000Z,45049.04684,2023-05-03T00:17:31.867012Z,299,CKUN41EW,309,English,Yes,Yes,Yes,39,Male,White,Australia,Australia,Australia,English,Yes,Full-Time
63ced18da9e0fa1f6bc14a67,EMOJIONLY,6451a72a4f4a9005e7268478,APPROVED,2023-05-03T00:13:46.922000Z,2023-05-03T00:24:52.151000Z,45049.04685,2023-05-03T00:24:52.490239Z,666,CKUN41EW,124,English,Yes,Yes,Yes,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
60149ad4dc001b4d6d233fbc,EMOJIONLY,6451a73cbce85a7c1cdc8119,APPROVED,2023-05-03T00:13:58.162000Z,2023-05-03T00:20:48.226000Z,45049.04685,2023-05-03T00:20:48.630474Z,411,CKUN41EW,301,"Arabic, English",Yes,Yes,Yes,21,Male,Mixed,Saudi Arabia,United Kingdom,Saudi Arabia,Arabic,Yes,Full-Time
6393eed7311659e36b95da3b,EMOJIONLY,6451a7a51bea7a3ae207859b,APPROVED,2023-05-03T00:15:33.518000Z,2023-05-03T00:25:43.849000Z,45049.04685,2023-05-03T00:25:46.654900Z,611,CKUN41EW,100,English,Yes,Yes,Yes,45,Female,White,Australia,Australia,Australia,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
627e79a6e1f2b10601861ca6,EMOJIONLY,6451a7a5e9b8a4d0f2a50126,APPROVED,2023-05-03T00:15:37.914000Z,2023-05-03T00:22:50.374000Z,45049.04685,2023-05-03T00:22:50.734972Z,433,CKUN41EW,141,English,Yes,Yes,Yes,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61113ad836a1f1b60f4c9389,EMOJIONLY,6451a7d29a68bc8eaf7b07a4,APPROVED,2023-05-03T00:16:46.760000Z,2023-05-03T00:28:50.341000Z,45049.04685,2023-05-03T00:28:50.735403Z,724,CKUN41EW,756,English,Yes,Yes,Yes,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
597761dfd5ddf60001d14b20,EMOJIONLY,6451a7e74b69bc8c48e84885,APPROVED,2023-05-03T00:16:42.466000Z,2023-05-03T00:23:24.966000Z,45049.04685,2023-05-03T00:23:25.352335Z,403,CKUN41EW,1691,English,Yes,Yes,Yes,37,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63659992ba948112342d05fd,EMOJIONLY,6451a90b29b25ab0aa2f1d51,APPROVED,2023-05-03T00:21:33.029000Z,2023-05-03T00:29:28.704000Z,45049.04686,2023-05-03T00:29:29.611702Z,476,CKUN41EW,351,"Chinese, Mandarin, English",Yes,Yes,Yes,27,Male,Asian,China,United Kingdom,China,Mandarin,Yes,Part-Time
597519f8262c480001bbaf8b,EMOJIONLY,6451a9438a49fc5e0221a27f,APPROVED,2023-05-03T00:22:27.031000Z,2023-05-03T00:40:29.099000Z,45049.04686,2023-05-03T00:40:29.491757Z,1083,CKUN41EW,2091,English,Yes,Yes,Yes,70,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5c0023fb2213be0001c2cdde,EMOJIONLY,6451a968af2489f9ffdc80f8,APPROVED,2023-05-03T00:23:14.369000Z,2023-05-03T00:31:57.557000Z,45049.04686,2023-05-03T00:31:57.982968Z,524,CKUN41EW,623,English,Yes,Yes,Yes,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5a049dd65d06850001aff4f9,EMOJIONLY,6451a979bf0ba83359ed7f7e,APPROVED,2023-05-03T00:23:24.871000Z,2023-05-03T00:42:01.407000Z,45049.04686,2023-05-03T00:42:01.807052Z,1117,CKUN41EW,1305,English,Yes,Yes,Yes,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
