Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
646255470a52985a8bdf9756,58c62eac444ade00010231a9,APPROVED,2023-05-15T15:52:39.555000Z,2023-05-15T16:14:18.900000Z,2023-05-16T10:08:22.712000,2023-05-15T16:14:19.738508Z,1300,C17VGRV0,1510,"English, French, Spanish, Italian",55,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
646257d51f5f9746037649a8,5e822d17f956a29530ccc2f8,APPROVED,2023-05-15T16:03:33.691000Z,2023-05-15T16:25:35.374000Z,2023-05-16T10:08:22.919000,2023-05-15T16:25:36.009093Z,1322,C17VGRV0,360,"English, Italian",24,Female,White,Italy,Italy,Italy,Italian,Yes,DATA_EXPIRED
64625ea1809ccd5dd829b6e4,5c95493ddd325800166f838a,APPROVED,2023-05-15T16:32:33.583000Z,2023-05-15T16:45:54.352000Z,2023-05-16T10:08:23.138000,2023-05-15T16:45:55.074681Z,801,C17VGRV0,1968,"Latvian, English, Russian",41,Female,White,Latvia,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64626222d340239a7c8ac44e,5e456d719fea8e03de5de050,APPROVED,2023-05-15T16:47:30.243000Z,2023-05-15T17:28:56.587000Z,2023-05-16T10:08:23.380000,2023-05-15T17:28:56.955270Z,2487,C17VGRV0,35,English,27,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
646265ad3e5d375d9fb86305,5e5b7d7b1977823677ebc5ae,APPROVED,2023-05-15T17:02:37.484000Z,2023-05-15T17:12:21.153000Z,2023-05-16T10:08:23.594000,2023-05-15T17:12:21.662831Z,584,C17VGRV0,972,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64626aa0ace1b2a27a19144c,5ed68e74f3b2f80e538d3c93,APPROVED,2023-05-15T17:23:44.633000Z,2023-05-15T17:36:56.929000Z,2023-05-16T10:08:23.823000,2023-05-15T17:36:57.365601Z,793,C17VGRV0,615,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
646273a2bc2e403704482ae2,5f7b0056256971022889a48f,APPROVED,2023-05-15T18:02:10.187000Z,2023-05-15T18:41:36.480000Z,2023-05-16T10:08:24.362000,2023-05-15T18:42:27.250782Z,2367,C17VGRV0,202,"Polish, English",27,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
64627b12e641b2ab0fa4f69c,5c010b0befcd35000140e3dc,APPROVED,2023-05-15T18:33:54.924000Z,2023-05-15T18:51:12.803000Z,2023-05-16T10:08:24.573000,2023-05-15T18:51:13.198780Z,1038,C17VGRV0,829,English,56,Male,White,Germany,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64627f7371658c77a8c2ed90,5b5e5c186b2559000177ddec,APPROVED,2023-05-15T18:52:35.580000Z,2023-05-15T19:15:30.898000Z,2023-05-16T10:08:24.805000,2023-05-15T19:16:27.342118Z,1376,C17VGRV0,238,"French, English, Portuguese",45,Female,White,Portugal,Canada,Portugal,Portuguese,No,Unemployed (and job seeking)
646280341021baa72a42ef7a,5c5476fdbb0c0c0001f79903,APPROVED,2023-05-15T18:55:48.760000Z,2023-05-15T19:06:42.011000Z,2023-05-16T10:08:25.023000,2023-05-15T19:06:43.403416Z,654,C17VGRV0,112,"Portuguese, English",27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64636a90bb51d3b3c41b2b2c,5ef617101961c60b03996128,AWAITING REVIEW,2023-05-16T11:35:44.721000Z,2023-05-16T11:46:10.282000Z,,2023-05-16T11:46:10.963637Z,626,C17VGRV0,138,"Afrikaans, English",58,Female,White,South Africa,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
64636de71d3f51c7d74f6dc5,5f3fd67a80f4de08363fe683,AWAITING REVIEW,2023-05-16T11:49:59.058000Z,2023-05-16T12:09:47.041000Z,,2023-05-16T12:09:47.628890Z,1188,C17VGRV0,232,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64636f529277da050cc667c3,5d20c6d5b1e50a001c19e622,AWAITING REVIEW,2023-05-16T11:56:02.489000Z,2023-05-16T12:14:25.913000Z,,2023-05-16T12:14:26.377264Z,1104,C17VGRV0,1457,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
646395923d279ff6bb2c5e67,5f0fac152f7b751b09b4c384,AWAITING REVIEW,2023-05-16T14:39:14.858000Z,2023-05-16T14:53:55.244000Z,,2023-05-16T14:53:55.673944Z,881,C17VGRV0,142,"English, Polish, German",33,Male,White,Poland,Poland,Poland,Polish,No,Other
646398221ef3b9697c6b5e67,5d6fd7cf855c8c0018fbaa30,AWAITING REVIEW,2023-05-16T14:50:10.838000Z,2023-05-16T15:16:19.063000Z,,2023-05-16T15:16:19.494337Z,1569,C17VGRV0,1297,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6463ad500dac35843496228e,5995ed90d1732a00013425c5,AWAITING REVIEW,2023-05-16T16:20:32.446000Z,2023-05-16T16:36:47.955000Z,,2023-05-16T16:37:00.888331Z,976,C17VGRV0,114,English,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6463c302295b423ccf546e66,5e6d21739f3bf02e56c9b113,AWAITING REVIEW,2023-05-16T17:53:06.692000Z,2023-05-16T18:20:31.185000Z,,2023-05-16T18:20:32.092340Z,1645,C17VGRV0,236,"Italian, Spanish, English, Romanian",26,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
6463cc7fcd72d143f1ea78fe,5f4d3457e974b19a851f964e,AWAITING REVIEW,2023-05-16T18:33:35.747000Z,2023-05-16T18:50:49.405000Z,,2023-05-16T18:50:49.768950Z,1034,C17VGRV0,142,"Portuguese, English",34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
